DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,329,1.57125,0,9e+10,0,0,2.00196,2.00196
2,0.99827,330,-1.57034,0,9e+10,0,0,2.00196,2.00196
3,1.99654,331,-1.57034,0,9e+10,0,0,2.00196,2.00196
4,2.99481,332,-1.57034,0,9e+10,0,0,2.00196,2.00196
5,3.99308,333,-1.57034,0,9e+10,0,0,2.00196,2.00196
6,4.99135,334,-1.57034,0,9e+10,0,0,2.00196,2.00196
7,5.98962,335,-1.57034,0,9e+10,0,0,2.00196,2.00196
8,6.98789,336,-1.57034,0,9e+10,0,0,2.00196,2.00196
9,7.98616,337,-1.57034,0,9e+10,0,0,2.00196,2.00196
10,8.98443,338,-1.57034,0,9e+10,0,0,2.00196,2.00196
11,9.9827,339,-1.57034,0,9e+10,0,0,2.00196,2.00196
12,10.981,340,-1.57034,0,9e+10,0,0,2.00196,2.00196
13,11.9792,341,-1.57034,0,9e+10,0,0,2.00196,2.00196
14,12.9775,342,-1.57034,0,9e+10,0,0,2.00196,2.00196
15,13.9758,343,-1.57034,0,9e+10,0,0,2.00196,2.00196
16,14.974,344,-1.57034,0,9e+10,0,0,2.00196,2.00196
17,15.9723,345,-1.57034,0,9e+10,0,0,2.00196,2.00196
18,16.9706,346,-1.57034,0,9e+10,0,0,2.00196,2.00196
19,17.9689,347,-1.57034,0,9e+10,0,0,2.00196,2.00196
20,18.9671,348,-1.57034,0,9e+10,0,0,2.00196,2.00196
21,19.9654,349,-1.57034,0,9e+10,0,0,2.00196,2.00196
22,20.9637,350,-1.57034,0,9e+10,0,0,2.00196,2.00196
23,21.9619,351,-1.57034,0,9e+10,0,0,2.00196,2.00196
24,22.9602,352,-1.57034,0,9e+10,0,0,2.00196,2.00196
25,23.9585,353,-1.57034,0,9e+10,0,0,2.00196,2.00196
26,24.9567,354,-1.57034,0,9e+10,0,0,2.00196,2.00196
27,25.955,355,-1.57034,0,9e+10,0,0,2.00196,2.00196
28,26.9533,356,-1.57034,0,9e+10,0,0,2.00196,2.00196
29,27.9516,357,-1.57034,0,9e+10,0,0,2.00196,2.00196
30,28.9498,358,-1.57034,0,9e+10,0,0,2.00196,2.00196
31,29.9481,359,-1.57034,0,9e+10,0,0,2.00196,2.00196
32,30.9464,360,-1.57034,0,9e+10,0,0,2.00196,2.00196
33,31.9446,361,-1.57034,0,9e+10,0,0,2.00196,2.00196
34,0,396,-1.57034,0,9e+10,0,0,2.00196,2.00196
35,0.99827,397,-1.57034,0,9e+10,0,0,2.00196,2.00196
36,1.99654,398,-1.57034,0,9e+10,0,0,2.00196,2.00196
37,2.99481,399,-1.57034,0,9e+10,0,0,2.00196,2.00196
38,3.99308,400,-1.57034,0,9e+10,0,0,2.00196,2.00196
39,4.99135,401,-1.57034,0,9e+10,0,0,2.00196,2.00196
40,5.98962,402,-1.57034,0,9e+10,0,0,2.00196,2.00196
41,6.98789,403,-1.57034,0,9e+10,0,0,2.00196,2.00196
42,7.98616,404,-1.57034,0,9e+10,0,0,2.00196,2.00196
43,8.98443,405,-1.57034,0,9e+10,0,0,2.00196,2.00196
44,9.9827,406,-1.57034,0,9e+10,0,0,2.00196,2.00196
45,10.981,407,-1.57034,0,9e+10,0,0,2.00196,2.00196
46,11.9792,408,-1.57034,0,9e+10,0,0,2.00196,2.00196
47,12.9775,409,-1.57034,0,9e+10,0,0,2.00196,2.00196
48,13.9758,410,-1.57034,0,9e+10,0,0,2.00196,2.00196
49,14.974,411,-1.57034,0,9e+10,0,0,2.00196,2.00196
50,15.9723,412,-1.57034,0,9e+10,0,0,2.00196,2.00196
51,16.9706,413,-1.57034,0,9e+10,0,0,2.00196,2.00196
52,17.9689,414,-1.57034,0,9e+10,0,0,2.00196,2.00196
53,18.9671,415,-1.57034,0,9e+10,0,0,2.00196,2.00196
54,19.9654,416,-1.57034,0,9e+10,0,0,2.00196,2.00196
55,20.9637,417,-1.57034,0,9e+10,0,0,2.00196,2.00196
56,21.9619,418,-1.57034,0,9e+10,0,0,2.00196,2.00196
57,22.9602,419,-1.57034,0,9e+10,0,0,2.00196,2.00196
58,23.9585,420,-1.57034,0,9e+10,0,0,2.00196,2.00196
59,24.9567,421,-1.57034,0,9e+10,0,0,2.00196,2.00196
60,25.955,422,-1.57034,0,9e+10,0,0,2.00196,2.00196
61,26.9533,423,-1.57034,0,9e+10,0,0,2.00196,2.00196
62,27.9516,424,-1.57034,0,9e+10,0,0,2.00196,2.00196
63,28.9498,425,-1.57034,0,9e+10,0,0,2.00196,2.00196
64,29.9481,426,-1.57034,0,9e+10,0,0,2.00196,2.00196
65,30.9464,427,-1.57034,0,9e+10,0,0,2.00196,2.00196
66,31.9446,428,-1.57034,0,9e+10,0,0,2.00196,2.00196
67,0,473,1.57125,0,9e+10,0,0,2.00196,2.00196
68,0.989597,474,-1.57034,0,9e+10,0,0,2.00196,2.00196
69,1.97919,475,-1.57034,0,9e+10,0,0,2.00196,2.00196
70,2.96879,476,-1.57034,0,9e+10,0,0,2.00196,2.00196
71,3.95839,477,-1.57034,0,9e+10,0,0,2.00196,2.00196
72,4.94798,478,-1.57034,0,9e+10,0,0,2.00196,2.00196
73,5.93758,479,-1.57034,0,9e+10,0,0,2.00196,2.00196
74,6.92718,480,-1.57034,0,9e+10,0,0,2.00196,2.00196
75,7.91677,481,-1.57034,0,9e+10,0,0,2.00196,2.00196
76,8.90637,482,-1.57034,0,9e+10,0,0,2.00196,2.00196
77,9.89597,483,-1.57034,0,9e+10,0,0,2.00196,2.00196
78,10.8856,484,-1.57034,0,9e+10,0,0,2.00196,2.00196
79,11.8752,485,-1.57034,0,9e+10,0,0,2.00196,2.00196
80,12.8648,486,-1.57034,0,9e+10,0,0,2.00196,2.00196
81,13.8544,487,-1.57034,0,9e+10,0,0,2.00196,2.00196
82,14.8439,488,-1.57034,0,9e+10,0,0,2.00196,2.00196
83,15.8335,489,-1.57034,0,9e+10,0,0,2.00196,2.00196
84,16.8231,490,-1.57034,0,9e+10,0,0,2.00196,2.00196
85,17.8127,491,-1.57034,0,9e+10,0,0,2.00196,2.00196
86,18.8023,492,-1.57034,0,9e+10,0,0,2.00196,2.00196
87,19.7919,493,-1.57034,0,9e+10,0,0,2.00196,2.00196
88,20.7815,494,-1.57034,0,9e+10,0,0,2.00196,2.00196
89,21.7711,495,-1.57034,0,9e+10,0,0,2.00196,2.00196
90,22.7607,496,-1.57034,0,9e+10,0,0,2.00196,2.00196
91,23.7503,497,-1.57034,0,9e+10,0,0,2.00196,2.00196
92,24.7399,498,-1.57034,0,9e+10,0,0,2.00196,2.00196
93,25.7295,499,-1.57034,0,9e+10,0,0,2.00196,2.00196
94,26.7191,500,-1.57034,0,9e+10,0,0,2.00196,2.00196
95,27.7087,501,-1.57034,0,9e+10,0,0,2.00196,2.00196
96,28.6983,502,-1.57034,0,9e+10,0,0,2.00196,2.00196
97,29.6879,503,-1.57034,0,9e+10,0,0,2.00196,2.00196
98,30.6775,504,-1.57034,0,9e+10,0,0,2.00196,2.00196
99,31.6671,505,-1.57034,0,9e+10,0,0,2.00196,2.00196
100,32.6567,506,-1.57034,0,9e+10,0,0,2.00196,2.00196
101,33.6463,507,-1.57034,0,9e+10,0,0,2.00196,2.00196
102,34.6359,508,-1.57034,0,9e+10,0,0,2.00196,2.00196
103,35.6255,509,-1.57034,0,9e+10,0,0,2.00196,2.00196
104,36.6151,510,-1.57034,0,9e+10,0,0,2.00196,2.00196
105,37.6047,511,-1.57034,0,9e+10,0,0,2.00196,2.00196
106,38.5943,512,-1.57034,0,9e+10,0,0,2.00196,2.00196
107,39.5839,513,-1.57034,0,9e+10,0,0,2.00196,2.00196
108,40.5735,514,-1.57034,0,9e+10,0,0,2.00196,2.00196
109,41.5631,515,-1.57034,0,9e+10,0,0,2.00196,2.00196
110,0,560,-1.57034,0,9e+10,0,0,2.00196,2.00196
111,0.989597,561,-1.57034,0,9e+10,0,0,2.00196,2.00196
112,1.97919,562,-1.57034,0,9e+10,0,0,2.00196,2.00196
113,2.96879,563,-1.57034,0,9e+10,0,0,2.00196,2.00196
114,3.95839,564,-1.57034,0,9e+10,0,0,2.00196,2.00196
115,4.94798,565,-1.57034,0,9e+10,0,0,2.00196,2.00196
