ID,LID,Width,Color,type,LinkID
1,12172,0.05,W,1,0
2,12173,0.05,W,1,0
3,12174,0.05,W,1,0
4,12175,0.05,W,1,0
5,12176,0.05,W,1,0
6,12177,0.05,W,1,0
7,12178,0.05,W,1,0
8,12179,0.05,W,1,0
9,12180,0.05,W,1,0
10,12181,0.05,W,1,0
11,12182,0.05,W,1,0
12,12183,0.05,W,1,0
13,12184,0.05,W,1,0
14,12185,0.05,W,1,0
15,12186,0.05,W,1,0
16,12187,0.05,W,1,0
17,12188,0.05,W,1,0
18,12189,0.05,W,1,0
19,12190,0.05,W,1,0
20,12191,0.05,W,1,0
21,12192,0.05,W,1,0
22,12193,0.05,W,1,0
23,12194,0.05,W,1,0
24,12195,0.05,W,1,0
25,12196,0.05,W,1,0
26,12197,0.05,W,1,0
27,12198,0.05,W,1,0
28,12199,0.05,W,1,0
29,12200,0.05,W,1,0
30,12201,0.05,W,1,0
31,12202,0.05,W,1,0
32,12203,0.05,W,1,0
33,12204,0.05,W,1,0
34,12205,0.05,W,1,0
35,12206,0.05,W,1,0
36,12207,0.05,W,1,0
37,12208,0.05,W,1,0
38,12209,0.05,W,1,0
39,12210,0.05,W,1,0
40,12211,0.05,W,1,0
41,12212,0.05,W,1,0
42,12213,0.05,W,1,0
43,12214,0.05,W,1,0
44,12215,0.05,W,1,0
45,12216,0.05,W,1,0
46,12217,0.05,W,1,0
47,12218,0.05,W,1,0
48,12219,0.05,W,1,0
49,12220,0.05,W,1,0
50,12221,0.05,W,1,0
51,12222,0.05,W,1,0
52,12223,0.05,W,1,0
53,12224,0.05,W,1,0
54,12225,0.05,W,1,0
55,12226,0.05,W,1,0
56,12227,0.05,W,1,0
57,12228,0.05,W,1,0
58,12229,0.05,W,1,0
59,12230,0.05,W,1,0
60,12231,0.05,W,1,0
61,12232,0.05,W,1,0
62,12233,0.05,W,1,0
63,12234,0.05,W,1,0
64,12235,0.05,W,1,0
65,12236,0.05,W,1,0
66,12237,0.05,W,1,0
67,12238,0.05,W,1,0
68,12239,0.05,W,1,0
69,12240,0.05,W,1,0
70,12241,0.05,W,1,0
